Altitude,Mach,AoA,AoS,Total CL,Total CD
14333.0,0.4,7.0,5.0,0.770237,0.116417
13371.0,0.2,14.0,13.0,1.007788,0.786026
1880.0,0.5,-7.0,11.0,-0.519190,0.241599
804.0,0.3,-12.0,-3.0,-1.048454,0.071708
581.0,0.5,-7.0,4.0,-0.567934,0.058822
3988.0,0.3,-6.0,7.0,-0.397886,0.150671
2993.0,0.2,7.0,12.0,0.615113,0.581866
6139.0,0.3,10.0,2.0,0.997949,0.102466
6572.0,0.1,14.0,12.0,1.175819,1.313452
4381.0,0.2,3.0,4.0,0.395630,0.060794
8387.0,0.4,-14.0,-2.0,-1.215592,0.111256
12214.0,0.4,-8.0,9.0,-0.584384,0.212140
2633.0,0.1,1.0,12.0,0.225141,1.114728
838.0,0.2,1.0,-1.0,0.244355,-0.017252
11736.0,0.5,-1.0,10.0,0.049477,0.178372
931.0,0.1,3.0,8.0,0.397696,0.498432
6480.0,0.5,6.0,2.0,0.736549,0.061282
10736.0,0.4,-10.0,5.0,-0.805289,0.115584
1774.0,0.5,-4.0,6.0,-0.253537,0.075437
6426.0,0.5,-4.0,5.0,-0.256549,0.055177
654.0,0.2,3.0,8.0,0.364463,0.248037
9127.0,0.3,12.0,2.0,1.109327,0.140677
2810.0,0.3,-9.0,0.0,-0.734693,0.024572
3923.0,0.6,7.0,-4.0,0.775765,0.088664
11825.0,0.3,-10.0,9.0,-0.709221,0.277959
6256.0,0.3,5.0,3.0,0.599387,0.050811
13883.0,0.5,-14.0,5.0,-1.089199,0.193447
6390.0,0.4,3.0,5.0,0.428478,0.072887
4024.0,0.2,-3.0,11.0,-0.124616,0.453411
13519.0,0.6,5.0,-3.0,0.679605,0.049513
240.0,0.3,-1.0,7.0,0.043293,0.134826
9522.0,0.4,6.0,-2.0,0.755186,0.039707
4724.0,0.5,-3.0,-2.0,-0.163819,-0.003387
4154.0,0.3,-8.0,11.0,-0.526272,0.362893
895.0,0.2,5.0,1.0,0.591534,0.012907
2825.0,0.2,7.0,6.0,0.697879,0.175436
14994.0,0.2,-6.0,-3.0,-0.438968,0.013691
9217.0,0.4,1.0,11.0,0.217718,0.261177
11467.0,0.6,-14.0,-2.0,-1.061025,0.142104
3052.0,0.2,-3.0,2.0,-0.136121,-0.002224
327.0,0.6,-2.0,12.0,-0.048755,0.219865
